BR1,BR2,BR3,BR4
-95.676469,39.037027,280.1033125,0
-95.682857,39.041308,289.7088,1.04069769514726
-95.680319,39.05016,291.0665216,2.05985737903054
-95.676683,39.05862,281.9698816,3.05243832947066
-95.672009,39.069481,271.6665838,4.32590684458444
-95.66905,39.076378,272.602736,5.13451623207543
-95.665758,39.084007,273.1477142,6.02916257420573
-95.663595,39.09152,274.7,7.00122114950928
-95.678268,39.091124,272.7506867,8.29175299455286
-95.691437,39.09105,275.298504,9.42839219832811
-95.701389,39.090985,273.5456368,10.2873163778254
-95.714724,39.090863,274.78,11.4382539127723
-95.721271,39.090809,275.3739774,12.0033167307286
-95.734933,39.090704,273.8191027,13.182457114312
-95.744714,39.090715,277.426,14.0269547212609
-95.75758,39.090878,275.5975104,15.1649266398413
-95.767061,39.0917,274.1796,16.0023505154067
-95.778393,39.09381,276.8462032,17.0094022806857
-95.792299,39.094211,277.2024,18.2114184931569
-95.805088,39.094083,276,19.3153177209633
-95.815883,39.09389,277.8212,20.2471711941379
-95.828179,39.093967,282.1632,21.3083558011991
-95.837511,39.094239,278.9896882,22.1143777894402
-95.848711,39.094299,281.164,23.0812330568656
-95.858547,39.095959,283.2619861,24.0035772821753
-95.858614,39.105055,281.8124,25.0157961310132
-95.86989,39.107778,281,26.0726044722858
-95.881326,39.110653,278.8485789,27.1098124864979
-95.891155,39.113129,283.0417752,28.0014130240237
-95.902916,39.116093,280.5024,29.0682760462383
-95.915398,39.119232,281.6689946,30.2002668588082
-95.924529,39.121712,280.5820781,31.0356481807458
-95.934735,39.126951,286.9764,32.0918781865978
-95.944056,39.131919,282.5464934,33.0673642522265
-95.953435,39.136607,286.1361832,34.0304609002469
-95.963538,39.142236,286.4370547,35.1041270977443
-95.980156,39.151012,286.5132211,36.837890059311
-95.9962,39.159485,286.33544,38.5116353731246
-95.998877,39.160911,285.7015338,38.7916614596431
-96.000982,39.162015,285.6439408,39.0107673358876
-96.011831,39.167758,290.4374781,40.1433020717129
-96.020763,39.172458,292.102,41.0739059888077
-96.031057,39.177597,284.2424,42.130982717968
-96.040256,39.182461,289.0509926,43.091565652195
-96.052456,39.187571,293.8416,44.2888374910978
-96.060043,39.190323,294.6179986,45.0108039896903
-96.071089,39.19409,297.3903696,46.0519138718031
-96.081166,39.197827,290.3397853,47.0146396239985
-96.091417,39.202344,290.8544339,48.0312328901733
