CR1,CR2,CR3,CR4
-98.373202,40.885432,574.9681971,0
-98.378299,40.894734,575.0864406,1.11956266432439
-98.381304,40.902421,574.8025126,2.00809375132317
-98.383214,40.911809,573.360927,3.05131756397114
-98.423591,40.890076,577.4528,4.26719214173952
-98.433357,40.885614,579.8075261,5.05699837074576
-98.445462,40.880103,581.2459146,6.10365473631274
-98.458369,40.87421,582.8916304,7.26813780828336
-98.466368,40.870641,586.0231315,8.00373381873176
-98.483885,40.862552,586.1985792,9.64773099543237
-98.492169,40.858762,587.4568,10.4333829856115
-98.506017,40.852424,590,11.7556124619429
-98.512226,40.849589,590.4801549,12.351020163867
-98.521568,40.845302,592.5885734,13.2502289697649
-98.530698,40.841142,596.0541766,14.1304112584712
-98.542841,40.837192,594.7724,15.2411132803252
-98.554717,40.833666,595.0188,16.3143170534895
-98.56903,40.829424,596.5442112,17.6075310419419
-98.577777,40.826829,598.9983637,18.3979890539021
-98.585649,40.824491,600.496,19.1095034699311
-98.59603,40.82161,600.359568,20.0398346815873
-98.607302,40.818084,604.7497907,21.0657978720006
-98.626556,40.812369,604.7162854,22.8062094769729
-98.645729,40.806648,604.9747597,24.5406377284229
-98.653318,40.804393,605.100177,25.2268159668736
-98.654296,40.804103,606.8775155,25.3152217647948
-98.664648,40.801025,607.2672,26.2513420307667
-98.68374,40.795342,610,27.9781682169397
-98.702829,40.789654,611.2908886,29.7050947576431
-98.707426,40.788283,611.0482717,30.1210411210602
-98.713062,40.786606,613,30.630853985669
-98.71848,40.786003,613.6108,31.0806599638913
-98.728314,40.782134,615.9304,32.0078964062003
-98.739519,40.778974,616.1861622,33.0145737739703
-98.754937,40.774755,619.2000376,34.3946583152082
-98.765506,40.77183,618.8951008,35.3420734468274
-98.774406,40.7694,621.84,36.1385885976316
-98.788391,40.765576,623,37.3904798176992
-98.798062,40.762936,624.0099853,38.2560655911933
-98.807704,40.760292,626,39.1195664870229
-98.824572,40.755654,627.616681,40.6307820567711
-98.830585,40.754011,627.5009976,41.1691058311224
-98.83991,40.751307,629.0292,42.0101678722644
-98.851895,40.748116,629.3568672,43.0798942391128
-98.865899,40.744311,633.6424334,44.3329344820466
-98.874116,40.742094,635.7961958,45.0675847079435
-98.893397,40.73778,633,46.7564833343939
-98.896932,40.736977,634.8880506,47.066647907592
-98.911295,40.733759,636.8056,48.3252523036228
-98.922387,40.731256,637.5932,49.2980661393626
-98.93143,40.729228,640.5584,50.0907691787897
-98.943663,40.726473,642.3028,51.1636771167342
-98.960734,40.722624,642.1596326,52.6612966618875
-98.969358,40.720684,645.8561011,53.4177912124182
-98.976301,40.719119,646.5662942,54.0269937945127
-98.988517,40.716359,643.554,55.0992050062306
-99.002035,40.713308,647.0912,56.2857027895045
-99.011186,40.711225,649.250936,57.0896483468491
-99.022581,40.708755,649.7736,58.086110130878
-99.034264,40.70611,652.008,59.1121353583468
-99.045805,40.703478,651.898,60.1265005360694
-99.056689,40.701001,654.2557294,61.0829991369451
-99.069493,40.700271,657.0042651,62.1265113888389
-99.081575,40.700456,659.881728,63.0802364656038
-99.093326,40.700458,663.3776,64.0161366387772
-99.10549,40.699434,664.7352736,65.0232443979628
-99.117805,40.699448,672.0128,66.0064447418655
-99.13039,40.699429,676.5404,67.0140250306657
-99.142803,40.698562,674.7211466,68.0385191692311
-99.155218,40.699451,680.1281574,69.0043500697632
-99.170865,40.699454,676.0304784,70.2620202889473
-99.190193,40.699515,680.1764792,71.8166443586597
-99.198079,40.699549,677.7606318,72.4515646559246
-99.208177,40.699574,675.7375101,73.2659173097915
-99.217599,40.699613,676.3564,74.0259831373296
-99.231028,40.699644,677.5808,75.1112370527579
-99.245161,40.700947,677.1720277,76.2159858524018
-99.256596,40.702423,682.5389197,77.0992362719879
-99.274257,40.704662,680.8345933,78.4688307944191
-99.291792,40.706904,683.3232947,79.8329368294233
-99.295378,40.707358,681.872,80.1126024808478
-99.321782,40.710755,688.8304,82.1760156319725
-99.324642,40.711122,690,82.4001313289895
-99.341028,40.713221,686.7008,83.686383045544
-99.35041,40.714425,690.70864,84.4243601962288
-99.358456,40.715465,691.326,85.0579462734759
-99.370929,40.717092,693.1829453,86.0413531894853
-99.383591,40.71895,690.648328,87.0365708201416
-99.396226,40.720316,692.0569114,88.0433477083113
-99.426438,40.724161,693.8472067,90.4436522565937
-99.426665,40.72419,693.09,90.4617206528179
-99.436243,40.725407,699,91.2247176263058
-99.460296,40.728483,704,93.1443320401246
-99.464836,40.72907,703.652,93.5071377229508
-99.476508,40.730554,702.0056,94.4412859411229
-99.483843,40.731491,703.8348,95.0288602506684
-99.502068,40.733812,704.0305587,96.4909488960816
-99.509501,40.734761,705.2792,97.0880110495373
-99.521618,40.736301,706.5638333,98.0624239115951
-99.533674,40.738099,707.503791,99.0279994132228
-99.545876,40.739375,710.25,100.016807465584
-99.559794,40.741134,711.0824,101.140210357193
-99.573167,40.74284,713.224,102.220644492065
-99.583651,40.744166,713.0024,103.068749652822
-99.596811,40.745806,716,104.134804012374
-99.609063,40.747367,717.148,105.127727572677
-99.621145,40.749834,717.0490928,106.092382105725
-99.635997,40.75312,719,107.276306946262
-99.645907,40.755291,722.0126235,108.068063475101
-99.658313,40.758032,725.1517926,109.06044563601
-99.67097,40.760814,725.0502432,110.074883794377
-99.684708,40.763844,726.7872,111.17775745425
-99.695273,40.766177,727.7628,112.027211844676
-99.709151,40.769223,728.9436,113.145023237228
-99.720676,40.77175,730,114.07478704727
-99.734711,40.775149,732.4448706,115.204667943546
-99.74568,40.777606,732.8698432,116.091662009163
-99.757534,40.780135,730.7308,117.052997520999
-99.769389,40.782412,732.5703667,118.018546178176
-99.784188,40.785666,735.1742643,119.220633714772
-99.796604,40.78838,739.9620992,120.230750049451
-99.806842,40.790595,740.0523696,121.064856306341
-99.819633,40.794837,741.5868,122.093120627184
-99.831966,40.799492,743.9356851,123.081507424018
-99.844104,40.804061,744.1397818,124.057127739221
-99.856764,40.808825,746.269808,125.077538682293
-99.870102,40.813829,745.3672,126.155753856912
-99.881081,40.818208,747.9129798,127.043588563555
-99.893075,40.822744,749.060112,128.017791858336
-99.906303,40.82739,752.2735568,129.097289545693
-99.918339,40.8319,755.84,130.079923073555
-99.934465,40.837915,757.506,131.400107626242
-99.945219,40.841943,756.2168,132.282565397061
-99.954538,40.845421,754.5156,133.048695957674
-99.966777,40.849978,759.2388,134.056807716426
-99.978463,40.854649,761.2696,135.020075628347
-99.990394,40.859129,763,136.006710854206
-100.003974,40.86386,762,137.133130061573
-100.014596,40.867811,761.8804,138.014992464495
-100.028063,40.872836,766.1616173,139.135064845348
-100.04272,40.878298,766,140.356676811572
-100.050982,40.881255,769.2772336,141.046604563456
-100.0625,40.885515,770,142.009522563077
-100.075471,40.889967,771.1549627,143.095959751939
-100.086509,40.893543,773.9188245,144.021843113977
-100.102649,40.900552,774.4704659,145.377709770077
-100.113018,40.905052,774.8901094,146.25081949848
-100.124359,40.90997,776.108,147.207561564068
-100.137162,40.915532,778.0848,148.289851494554
-100.146533,40.919626,780.6536,149.083513304769
-100.157961,40.924766,781.8172,150.053348597398
-100.170039,40.929998,784.8544218,151.079898714721
-100.185971,40.936704,783.8656,152.436336954679
-100.192667,40.939607,784.2124,153.00761185741
-100.205546,40.945163,787,154.107877700969
-100.217275,40.950172,789.3808,155.111455416107
-100.227772,40.954664,789.2096,156.011021511329
-100.24207,40.960852,794.6455744,157.238690878366
-100.25229,40.96528,793.022048,158.117683795014
-100.264518,40.970562,797.7413434,159.170849712832
-100.276315,40.975881,799,160.189747167459
-100.291842,40.983365,801.8439568,161.536354831851
-100.299872,40.987219,802.0294547,162.233951010583
-100.315097,40.996717,806.299125,163.574485182967
-100.319968,40.999445,807.004,164.002227455793
-100.335445,41.000981,806,165.309521843844
-100.343599,41.003676,805.010185,166.0123809697
-100.356495,41.013329,808,167.167809447719
-100.365791,41.020533,812,168.006281220386
-100.378981,41.030515,816.9472136,169.199007992549
-100.388286,41.035876,811,170.027547850062
-100.407194,41.04224,816.0574976,171.669733346429
-100.411838,41.043789,815.9764,172.073170588588
-100.425348,41.048324,816.7556941,173.247636077058
-100.436439,41.052043,818,174.212344695313
-100.446566,41.055415,821.988,175.09339331227
-100.459005,41.059159,822.5659368,176.171813550722
-100.469402,41.062291,822.6101667,177.073573691063
-100.481734,41.066004,822.5345306,178.143541584301
-100.495539,41.070152,825.5124,179.3417206824
-100.505002,41.072993,826.0055786,180.163317377414
-100.515205,41.076133,828,181.050326725279
-100.5271,41.079701,829.5164,182.083707627764
-100.537598,41.083797,829.8976938,183.00739049879
-100.550643,41.085538,830.9368,184.115255065814
-100.56094,41.088969,832.1107456,185.014722599721
-100.573645,41.092787,835.9959496,186.119879700015
-100.585573,41.09636,835.7769312,187.15765829703
-100.600564,41.100845,838.9696,188.462329389597
-100.606832,41.102725,840.886912,189.008048022351
-100.619437,41.106493,843.3647554,190.105597007458
-100.629917,41.109629,842.8997227,191.018425186856
-100.641246,41.113028,845,192.005588897481
-100.653403,41.118476,849.1067891,193.089378123613
-100.664952,41.123779,847.8272,194.121670263269
-100.675355,41.128565,846.834,195.05249461243
-100.686658,41.133744,845.9581478,196.064438435642
-100.698422,41.13483,849.0952,197.057013028699
-100.711518,41.133388,851.4648,198.12463809307
-100.722866,41.132137,849.2528794,199.050156574909
-100.732688,41.141805,853.3232,200.002368594434
-100.745003,41.144162,857.0108,201.058836233633
-100.757305,41.145785,856.124,202.1036480258
-100.768115,41.147216,857.7907936,203.021795972013
-100.779769,41.148163,859,204.003019995951
-100.79198,41.148455,862.067936,205.021080555352
-100.805683,41.151624,862.9295283,206.204345785751
-100.814816,41.15813,866.8016,207.057252264571
-100.82644,41.162421,862.8683296,208.085287220398
-100.839829,41.162389,866.4143938,209.195588832123
-100.851877,41.162407,863.1581789,210.195491180003
-100.868256,41.162418,866.5904,211.554800906765
